Time,Trust
14.070000,3158.596680
14.080000,3162.369141
14.090000,3166.104492
14.100000,3169.802490
14.110000,3173.462891
14.120000,3177.085205
14.130000,3180.669189
14.140000,3184.214600
14.150000,3187.720947
14.160000,3191.187988
14.170000,3194.615479
14.180000,3198.002930
14.190000,3201.350098
14.200000,3204.656494
14.210000,3207.922119
14.220000,3211.146240
14.230000,3214.328613
14.240000,3217.469238
14.250000,3220.567383
14.260000,3223.622803
14.270000,3226.635010
14.280000,3229.604004
14.290000,3232.529297
14.300000,3235.410400
14.310000,3238.247070
14.320000,3241.039062
14.330000,3243.785645
14.340000,3246.487061
14.350000,3249.142334
14.360000,3251.751465
14.370000,3254.313965
14.380000,3256.829590
14.390000,3259.297852
14.400000,3261.718506
14.410000,3264.090820
14.420000,3266.415039
14.430000,3268.690430
14.440000,3270.916504
14.450000,3273.093262
14.460000,3275.219971
14.470000,3277.296387
14.480000,3279.322021
14.490000,3281.296875
14.500000,3283.219971
14.510000,3285.091553
14.520000,3286.910889
14.530000,3288.677734
14.540000,3290.391357
14.550000,3292.051758
14.560000,3293.658447
14.570000,3295.211182
14.580000,3296.709229
14.590000,3298.152344
14.600000,3299.540039
14.610000,3300.872314
14.620000,3302.148193
14.630000,3303.367676
14.640000,3304.530273
14.650000,3305.635498
14.660000,3306.683105
14.670000,3307.672607
14.680000,3308.603271
14.690000,3309.475342
14.700000,3310.287842
14.710000,3311.040527
14.720000,3311.733154
14.730000,3312.365234
14.740000,3312.936279
14.750000,3313.445801
14.760000,3313.893311
14.770000,3314.278809
14.780000,3314.601318
14.790000,3314.860840
14.800000,3315.056885
14.810000,3315.188965
14.820000,3315.256348
14.830000,3315.259033
14.840000,3315.196533
14.850000,3315.068115
14.860000,3314.873535
14.870000,3314.612305
14.880000,3314.284180
14.890000,3313.888428
14.900000,3313.424805
14.910000,3312.892822
14.920000,3312.291992
14.930000,3311.621826
14.940000,3310.882080
14.950000,3310.072021
14.960000,3309.191406
14.970000,3308.239502
14.980000,3307.216309
14.990000,3306.120850
15.000000,3304.952881
15.010000,3303.712158
15.020000,3302.397949
15.030000,3301.010010
15.040000,3299.547607
15.050000,3298.010254
15.060000,3296.397949
15.070000,3294.709717
15.080000,3292.945068
15.090000,3291.104004
15.100000,3289.185547
15.110000,3287.189453
15.120000,3285.115234
15.130000,3282.962402
15.140000,3280.730469
15.150000,3278.418945
15.160000,3276.027100
15.170000,3273.554932
15.180000,3271.001465
15.190000,3268.366699
15.200000,3265.649658
15.210000,3262.850098
15.220000,3259.967529
15.230000,3257.001221
15.240000,3253.950928
15.250000,3250.815918
15.260000,3247.595947
15.270000,3244.290527
15.280000,3240.898682
15.290000,3237.420410
15.300000,3233.854980
15.310000,3230.201904
15.320000,3226.460449
15.330000,3222.630615
15.340000,3218.711426
15.350000,3214.702393
15.360000,3210.603027
15.370000,3206.413086
15.380000,3202.131836
15.390000,3197.758545
15.400000,3193.292969
15.410000,3188.734375
15.420000,3184.082520
15.430000,3179.336426
15.440000,3174.496094
15.450000,3169.560303
15.460000,3164.529297
15.470000,3159.401855
15.480000,3154.177734
15.490000,3148.856201
15.500000,3143.437012
15.510000,3137.919434
15.520000,3132.302979
15.530000,3126.586914
15.540000,3120.770752
15.550000,3114.854004
15.560000,3108.836182
15.570000,3102.716553
15.580000,3096.494629
15.590000,3090.169922
15.600000,3083.741699
15.610000,3077.209229
15.620000,3070.572510
15.630000,3063.830322
15.640000,3056.982422
15.650000,3050.028320
15.660000,3042.967285
15.670000,3035.798584
15.680000,3028.521973
15.690000,3021.136475
15.700000,3013.641846
15.710000,3006.037354
15.720000,2998.322510
15.730000,2990.496338
15.740000,2982.558594
15.750000,2974.508545
15.760000,2966.345947
15.770000,2958.069580
